dataset_id,dataset_name,family,srsd_variant,algorithm,train_nmse,valid_nmse,id_nmse,ood_nmse
g0028,feynman-i.18.16,srsd,easy dummy,tpsr,0.9999615278884612,1.000067816871765,1.000963545098525,0.9999857727314824
g0029,feynman-ii.34.11,srsd,easy dummy,drsr,2.6513979110131513e+24,2.487085614676416e+24,1.1137093137724588e+24,2.3340201744249515e+22
g0029,feynman-ii.34.11,srsd,easy dummy,dso,0.9636488269900124,0.9629446002044504,0.9803464640315446,1.069152920651331
g0029,feynman-ii.34.11,srsd,easy dummy,gplearn,0.9991636114890924,1.0000021757493769,1.0000075064741931,1.0001272181076435
g0029,feynman-ii.34.11,srsd,easy dummy,llmsr,6.624809459863354e+16,6.13008492591216e+16,2.719623418175637e+16,1.7597264711747731e+19
g0029,feynman-ii.34.11,srsd,easy dummy,pyoperon,0.9985030240284308,1.0020438569250525,0.9978151584180536,1.0002835017970162
g0029,feynman-ii.34.11,srsd,easy dummy,pysr,2.8991735190773896e-15,3.5848925472544265e-15,4.843848962791609e-15,2.017358176443845e-32
g0029,feynman-ii.34.11,srsd,easy dummy,tpsr,1.0008841600735523,0.9987396044977704,1.000606795619848,1.0000156951866166
g0030,feynman-bonus.8,srsd,medium dummy,drsr,7.087137060950805e+20,8.092188814611664e+20,6.73797560565731e+20,8.665982793851704e+19
g0030,feynman-bonus.8,srsd,medium dummy,dso,4.683112682796424e-17,0.0,7.763424953894227e-17,7.624306756128053e-18
g0030,feynman-bonus.8,srsd,medium dummy,gplearn,4.683112682796424e-17,1.000131229935335,1.0007431417533013,2.6139960536708404
g0030,feynman-bonus.8,srsd,medium dummy,llmsr,2.098362693052061e+29,2.1468172345693283e+29,1.893406891542669e+29,5.027327070988352e+28
g0030,feynman-bonus.8,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0030,feynman-bonus.8,srsd,medium dummy,pysr,1.0004521763309269,1.000131229935335,1.0007431417533013,2.6139960536708404
g0030,feynman-bonus.8,srsd,medium dummy,tpsr,374635198.8790346,410533464.7378825,356684353.2548089,33706609.17408185
g0031,feynman-i.30.5,srsd,easy dummy,drsr,6.216524862165948e+37,3.1333442801286467e+39,3.848585550427701e+37,2.3667042261492635e+37
g0031,feynman-i.30.5,srsd,easy dummy,dso,3.3267751465198615e-33,6.649320702756342e-33,1.78325412254818e-33,3.91754920095726e-27
g0031,feynman-i.30.5,srsd,easy dummy,gplearn,0.9999999999972966,7.21047036180814e+64,8.85638779863882e+62,5.4462737421568575e+62
g0031,feynman-i.30.5,srsd,easy dummy,llmsr,7.870612416979531e+46,3.9670618136790936e+48,4.872613862919007e+46,2.9964348378426203e+46
g0031,feynman-i.30.5,srsd,easy dummy,pyoperon,1.0,1.0,1.0,1.0
g0031,feynman-i.30.5,srsd,easy dummy,pysr,0.9999999923657588,0.999999984236304,1.0000000016607673,1.0000000005598555
g0031,feynman-i.30.5,srsd,easy dummy,tpsr,0.9960253324389186,0.9663257194489308,0.9951651049858282,1.0000098567514917
g0032,feynman-i.41.16,srsd,hard dummy,drsr,1.856331031795964e+98,2.764408433269514e+98,2.36016780904552e+98,1.621366901298469e+101
g0032,feynman-i.41.16,srsd,hard dummy,dso,0.9661506317146396,0.980196696377228,0.9127909780683108,0.9999999958161097
g0032,feynman-i.41.16,srsd,hard dummy,gplearn,1.0,1.611115606696656e+74,1.351085328738842e+74,1.1431196566107044e+72
g0032,feynman-i.41.16,srsd,hard dummy,llmsr,4.1218832030533275e+106,6.138220227080008e+106,5.2406256652992714e+106,3.600157990136486e+109
g0032,feynman-i.41.16,srsd,hard dummy,pyoperon,1.0,1.0,1.0,1.0
g0032,feynman-i.41.16,srsd,hard dummy,pysr,7.425324663225598e+122,1.1057634531392072e+123,9.440671917742424e+122,6.485468073395892e+125
g0032,feynman-i.41.16,srsd,hard dummy,tpsr,3.7961576463881854e+43,5.27507589115874e+43,4.402934909945299e+43,3.765725977863009e+41
g0033,feynman-iii.4.33,srsd,hard non-dummy,drsr,4.653888184909211e+34,4.263195984852176e+34,6.354465146792698e+34,1.061405262726056e+34
g0033,feynman-iii.4.33,srsd,hard non-dummy,dso,0.9795205882239222,0.9805619027333868,0.9810419222944834,0.9976531169696974
g0033,feynman-iii.4.33,srsd,hard non-dummy,gplearn,4.843530362254583e+34,5.207868585077707e+34,5.814699515501029e+34,4.13502339237112e+33
g0033,feynman-iii.4.33,srsd,hard non-dummy,llmsr,5.012187123098459e+43,4.3415374154820016e+43,6.764356624735973e+43,6.036754875772616e+43
g0033,feynman-iii.4.33,srsd,hard non-dummy,pyoperon,1.0,1.0,1.0,1.0
g0033,feynman-iii.4.33,srsd,hard non-dummy,pysr,1.0,1.0,1.0,1.0
g0033,feynman-iii.4.33,srsd,hard non-dummy,tpsr,1.782018982826578e+41,1.9023153607616224e+41,2.0914144626266015e+41,4.206518890658841e+40
g0034,feynman-iii.4.33,srsd,hard dummy,drsr,1.0177084402194624e+35,9.128866921237032e+34,1.292165362645616e+35,1.1583568325218644e+35
g0034,feynman-iii.4.33,srsd,hard dummy,dso,0.9693852809729387,1.005802351281783,1.0432693104612858,2.1213068615666595
