dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0045,45,feynman-i.11.19,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.11.19,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0046,46,feynman-ii.15.4,sim-datasets-data/srsd/srsd-feynman_easy/feynman-ii.15.4,srsd,srsd/srsd-feynman_easy,strict,pysr,7,5,drsr;dso;llmsr;pysr;tpsr,3,4,0
g0047,47,feynman-i.15.3x,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-i.15.3x,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0048,48,feynman-bonus.17,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.17,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0049,49,feynman-iii.15.27,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-iii.15.27,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0050,50,feynman-i.24.6,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.24.6,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0051,51,feynman-bonus.10,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.10,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0052,52,feynman-i.18.12,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.18.12,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0053,53,feynman-ii.8.7,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.8.7,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0054,54,feynman_II_2_42,sim-datasets-data/srbench1.0/feynman/feynman_II_2_42,srbench1.0,srbench1.0/feynman,strict,pysr,7,5,gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0055,55,feynman_II_34_11,sim-datasets-data/srbench1.0/feynman/feynman_II_34_11,srbench1.0,srbench1.0/feynman,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0056,56,feynman_II_15_5,sim-datasets-data/srbench1.0/feynman/feynman_II_15_5,srbench1.0,srbench1.0/feynman,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0057,57,feynman_III_17_37,sim-datasets-data/srbench1.0/feynman/feynman_III_17_37,srbench1.0,srbench1.0/feynman,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
